,secs,x1,x2,y1,y2
576,29.52,424,277,474,310
577,29.52,-7,286,32,314
578,29.56,425,276,476,310
579,29.56,479,269,582,394
580,29.6,421,277,475,307
581,29.6,478,270,579,393
582,29.64,421,277,476,307
583,29.64,477,270,577,392
584,29.68,476,270,576,392
585,29.68,434,276,476,309
586,29.72,435,274,473,312
587,29.72,435,273,474,311
588,29.76,436,274,475,311
589,29.76,435,275,473,313
590,29.8,436,273,476,312
591,29.8,436,274,474,312
592,29.84,426,277,476,310
593,29.84,422,279,466,310
594,29.88,426,276,479,310
595,29.88,421,279,465,309
596,29.92,437,272,476,310
597,29.92,429,275,479,311
598,29.96,435,273,473,309
599,29.96,430,274,482,311
600,30.0,439,485,271,314
601,30.0,477,624,272,382
602,30.04,439,271,485,314
603,30.04,438,273,476,312
604,30.08,438,276,478,307
605,30.08,439,273,478,312
606,30.12,438,273,476,312
607,30.12,433,271,477,309
608,30.16,433,272,477,309
609,30.16,440,274,478,312
610,30.2,433,275,483,311
611,30.2,440,274,478,312
612,30.24,433,274,486,312
613,30.24,441,273,479,312
614,30.28,434,274,484,311
615,30.28,441,273,479,312
616,30.32,439,274,479,309
617,30.32,441,273,480,312
618,30.36,442,273,481,312
619,30.36,466,271,552,376
620,30.4,466,271,551,375
621,30.4,435,271,479,309
622,30.44,464,272,548,374
623,30.44,441,276,482,308
624,30.48,441,275,484,308
625,30.48,436,270,481,309
626,30.52,440,275,483,308
627,30.52,435,270,479,309
628,30.56,470,272,600,370
629,30.56,441,275,485,309
630,30.6,469,272,599,370
631,30.6,442,276,483,307
632,30.64,437,271,482,310
633,30.64,442,276,483,308
634,30.68,442,275,486,309
635,30.68,443,274,481,310
636,30.72,440,275,485,310
637,30.72,443,274,481,310
638,30.76,442,276,487,310
639,30.76,437,271,482,310
640,30.8,437,272,482,310
641,30.8,440,276,486,311
642,30.84,438,271,484,310
643,30.84,435,274,486,313
644,30.88,436,274,488,313
645,30.88,433,276,486,310
646,30.92,425,277,474,311
647,30.92,433,276,486,311
648,30.96,428,277,477,311
649,30.96,433,276,486,311
650,31.0,432,276,489,308
651,31.0,429,275,468,310
652,31.04,430,277,487,308
653,31.04,427,275,483,312
654,31.08,430,276,488,309
655,31.08,436,274,488,314
656,31.12,429,279,475,312
657,31.12,436,275,488,314
658,31.16,429,279,476,312
659,31.16,436,275,488,314
660,31.2,462,581,274,361
661,31.2,443,483,277,310
662,31.24,461,273,580,360
663,31.24,430,279,475,311
664,31.28,434,276,486,310
665,31.28,430,278,476,311
666,31.32,460,273,577,358
667,31.32,429,278,476,311
668,31.36,429,274,469,311
669,31.36,439,274,492,313
670,31.4,429,275,467,310
671,31.4,438,274,491,312
672,31.44,430,275,467,310
673,31.44,438,274,492,313
674,31.48,435,276,488,311
675,31.48,430,275,491,309
676,31.52,435,276,489,312
677,31.52,446,275,486,310
678,31.56,435,276,489,312
679,31.56,446,275,486,310
680,31.6,435,277,490,313
681,31.6,447,276,486,310
682,31.64,447,275,488,310
683,31.64,447,272,489,313
684,31.68,438,274,493,314
685,31.68,447,275,487,310
686,31.72,436,270,497,316
687,31.72,446,272,489,314
688,31.76,445,273,489,315
689,31.76,448,272,491,314
690,31.8,445,274,489,315
691,31.8,446,272,490,315
692,31.84,451,277,558,357
693,31.84,452,275,560,354
694,31.88,446,277,484,309
695,31.88,449,275,556,353
696,31.92,450,275,558,354
697,31.92,-6,286,34,314
698,31.96,448,273,489,314
699,31.96,436,270,497,316
700,32.0,447,273,489,314
701,32.0,438,270,498,315
702,32.04,442,275,490,310
703,32.04,438,274,493,313
704,32.08,442,275,489,310
705,32.08,439,273,492,314
706,32.12,441,275,488,310
707,32.12,436,270,496,314
708,32.16,446,271,492,314
